size;Naive1;Naive2;ThreadPool;parallel_for
201;139770;139244;67422;58899
202;144383;140145;68522;58469
203;142159;144555;70077;59490
204;146669;146596;70033;60482
205;156014;148178;71712;60697
206;151395;150373;72578;61841
207;153560;151277;73965;63395
208;152283;152981;74680;63151
209;156511;155706;75516;64991
210;161837;159897;77408;66396
211;163812;160497;78229;64798
212;163978;164250;78697;67123
213;165632;166501;79518;68268
214;166346;168965;81035;70461
215;172611;168084;81855;70150
216;172269;171038;81930;72342
217;178443;175381;83360;72726
218;180604;176820;86961;73084
219;179428;178913;86408;74841
220;185598;182853;86844;74734
221;188101;184848;90107;76351
222;189806;188138;90211;77608
223;191967;190865;92153;86571
224;201947;191158;91653;81851
225;197340;195660;95233;80384
226;199916;196079;94240;79807
227;202813;201401;95449;82209
228;207053;202012;96150;83830
229;214674;204703;98429;86755
230;210874;206248;99831;85664
231;213077;211271;100287;87981
232;218978;214189;102038;86919
233;223109;216426;102135;89229
234;224690;217321;103714;91953
235;228105;221386;105556;90536
236;228051;227011;106143;93623
237;231250;228269;108112;93785
238;237295;228903;109103;95483
239;241632;232721;110483;96757
240;247984;237166;111785;97619
241;267406;240995;113165;97713
242;245287;243835;115229;98650
243;247849;246352;116663;102517
244;253895;248361;117235;102013
245;257320;253024;118497;103765
246;260195;259053;120323;106286
247;263513;255879;121285;107928
248;262598;263262;121796;107262
249;274671;263151;124133;110292
250;273911;267307;127350;110137
251;277527;272377;126279;112938
252;283651;270285;128106;112259
253;286001;272719;131482;115416
254;289764;279570;131775;114801
255;291014;284497;133265;116661
256;347409;293286;137331;121359
257;329889;295865;138871;126082
258;356953;332685;146438;135485
259;338242;304991;139588;129280
260;324971;313128;141099;127317
261;325407;302661;144719;126968
262;326919;314717;149342;129244
263;346714;321763;145187;127817
264;326204;313493;147823;131293
265;335696;315751;149987;131040
266;338571;323131;151452;134381
267;344863;324108;151827;135428
268;344185;329890;153498;135397
269;357700;335829;156872;139110
270;355646;332908;156995;138761
271;373299;340787;159086;139956
272;357087;343322;160518;143502
273;418279;347932;163278;142985
274;380374;348699;168014;146045
275;388693;355523;167607;146448
276;389454;358814;170280;146044
277;397601;366432;168990;150054
278;397999;369913;172509;149013
279;415417;378029;172043;153294
280;397579;374210;175001;152663
281;415253;379313;178146;155712
282;424167;382827;178928;158155
283;429355;382076;185376;157376
284;428735;389298;180940;159479
285;445583;397424;185284;161895
286;436864;400600;186158;161884
287;451001;405653;190466;166323
288;484638;409384;192689;172190
289;467711;412288;193659;167254
290;467026;415553;196545;171077
291;476847;420201;197833;177444
292;470106;424029;200080;177007
293;492027;429705;201868;175925
294;488831;452933;203708;182914
295;505235;439163;207784;181966
296;480422;444441;211123;182819
297;513491;443568;207656;185366
298;514997;450698;210764;185951
299;520830;459741;214411;188566
300;505107;464259;216327;191474
